Paper title,Venue,URL,Suggested by
2DGS: 2D Gaussian Splatting for Geometrically Accurate Radiance Fields ,SIGGRAPH 2024,https://surfsplatting.github.io/,Jordan
Zero Grads: Learning Local Surrogate Losses for Non-Differentiable Graphics,SIGGRAPH 2024,https://mfischer-ucl.github.io/zerograds/,Jordan
3D Gaussian Ray Tracing: Fast Tracing of Particle Scenes,Arxiv,https://gaussiantracer.github.io/,Jordan
Seeing photons in color,SIGGRAPH 2023,https://wisionlab.com/project/seeing-photons-in-color/,Daniel
NeRF-Texture: Texture Synthesis with Neural Radiance Fields,SIGGRAPH 2023,https://yihua7.github.io/NeRF-Texture-web/,Daniel
Micro-Mesh Construction,SIGGRAPH 2023,https://micromesh.di.unimi.it/,Daniel
Deep Adaptive Sampling and Reconstruction using Analytic Distributions,SIGGRAPH Asia 2022,https://studios.disneyresearch.com/2022/11/30/deep-adaptive-sampling-and-reconstruction-using-analytic-distributions/,Joey
Real-Time Neural Appearance Models,SIGGRAPH 2023,https://research.nvidia.com/labs/rtr/neural_appearance_models/,Joey
A Practical and Hierarchical Yarn-based Shading Model for Cloth,EGSR 2023,https://sites.cs.ucsb.edu/~lingqi/publications/paper_egsr23cloth.pdf,Ishaan
Discontinuity-aware 2D neural fields,SIGGRAPH Asia 2023,https://iliyan.com/publications/DiscontinuityAwareNeuralFields,Ishaan
Random-Access Neural Compression of Material Textures,SIGGRAPH 2023,https://research.nvidia.com/labs/rtr/neural_texture_compression/,Ishaan
N-BVH: Neural ray queries with bounding volume hierarchies,SIGGRAPH 2024,https://weiphil.github.io/portfolio/neural_bvh,Ishaan
Filter-Adapted Spatio-Temporal Sampling for Real-Time Rendering,I3D 2024,https://www.ea.com/seed/news/spatio-temporal-sampling,Terry
Photon-Driven Neural Reconstruction for Path Guiding,TOG 2021,http://graphics.ucsd.edu/~henrik/papers/photon_reconstruction_path_guiding.pdf,Vishesh
Practical Path Guiding for Efficient Light-Transport Simulation,EGSR 2017,https://jannovak.info/publications/PathGuide/index.html,Vishesh
Inverse Global Illumination using a Neural Radiometric Prior,SIGGRAPH 2023,Inverse Global Illumination using a Neural Radiometric Prior (jannovak.info),Vishesh
Specular Polynomials,SIGGRAPH 2024,https://arxiv.org/pdf/2405.13409,Adrien
Practical Error Estimation for Denoised Monte Carlo Image Synthesis,SIGGRAPH 2024,https://people.compute.dtu.dk/jerf/papers/stopping.pdf,Adrien
RGB↔X: Image decomposition and synthesis using material- and lighting-aware diffusion models,SIGGRPAH 2024,https://iliyan.com/publications/RGBX,Adrien
